OBJECTID,pointid,grid_code,PR_mean,ETP_mean,Balance_me,stress_probability
1,1,1.0000000,253.6604156,816.3781128,-562.7176514,1.0000000
2,2,1.0000000,245.8392334,851.2081909,-605.3689575,1.0000000
3,3,1.0000000,238.1086121,870.2543945,-632.1458130,1.0000000
4,4,1.0000000,234.5508575,884.3526611,-649.8018188,1.0000000
5,5,1.0000000,242.4044037,888.3347778,-645.9304199,1.0000000
6,6,1.0000000,281.6305237,878.0012817,-596.3707886,1.0000000
7,7,1.0000000,287.3283997,889.1434937,-601.8150635,1.0000000
8,8,1.0000000,342.2969360,869.1000977,-526.8031616,1.0000000
9,9,1.0000000,330.4389648,871.3116455,-540.8726807,1.0000000
10,10,1.0000000,332.2203674,857.1519165,-524.9315186,1.0000000
11,11,1.0000000,329.2370605,843.9566650,-514.7196045,1.0000000
12,12,1.0000000,324.0625000,831.5929565,-507.5304565,1.0000000
13,13,1.0000000,324.1451416,817.1380615,-492.9929504,1.0000000
14,14,1.0000000,316.6069336,804.3967896,-487.7898254,1.0000000
15,15,1.0000000,297.7814941,802.5625000,-504.7810364,1.0000000
16,16,1.0000000,237.1152496,856.8998413,-619.7846069,1.0000000
17,17,1.0000000,220.8016815,878.9647827,-658.1630859,1.0000000
18,18,1.0000000,202.9037476,836.3945312,-633.4907837,1.0000000
19,19,1.0000000,189.0025940,877.9734497,-688.9708862,1.0000000
20,20,1.0000000,161.3007050,1112.3287354,-951.0280151,1.0000000
21,21,1.0000000,117.2617493,1296.3546143,-1179.0928955,1.0000000
22,22,1.0000000,97.2800293,1394.0263672,-1296.7463379,1.0000000
23,23,1.0000000,78.7820587,1483.1231689,-1404.3411865,1.0000000
24,24,1.0000000,66.9660797,1556.0749512,-1489.1088867,1.0000000
25,25,1.0000000,53.1660767,1649.7620850,-1596.5959473,1.0000000
26,26,1.0000000,55.6473351,1689.8067627,-1634.1594238,1.0000000
27,27,1.0000000,56.6165619,1842.6716309,-1786.0550537,1.0000000
28,28,1.0000000,58.8220253,1973.0275879,-1914.2055664,1.0000000
29,29,1.0000000,59.2607079,1972.8395996,-1913.5788574,1.0000000
30,30,1.0000000,58.9734268,1883.9156494,-1824.9422607,1.0000000
31,31,1.0000000,59.3910408,1831.7921143,-1772.4010010,1.0000000
32,32,1.0000000,61.4283485,1964.5598145,-1903.1314697,1.0000000
33,33,1.0000000,62.6135216,1967.2701416,-1904.6564941,1.0000000
34,34,1.0000000,64.6131973,1973.5322266,-1908.9190674,1.0000000
35,35,1.0000000,65.9595184,1981.2523193,-1915.2927246,1.0000000
36,36,1.0000000,67.0340652,1989.9715576,-1922.9375000,1.0000000
37,37,1.0000000,70.7282257,1991.3896484,-1920.6613770,1.0000000
38,38,1.0000000,71.4940720,1976.1987305,-1904.7045898,1.0000000
39,39,1.0000000,268.9421692,806.6596680,-537.7174683,1.0000000
40,40,1.0000000,279.7337036,833.0736084,-553.3399048,1.0000000
41,41,1.0000000,258.5947266,855.6923828,-597.0976562,1.0000000
42,42,1.0000000,233.0592499,876.6369629,-643.5776978,1.0000000
43,43,1.0000000,251.1461792,878.2711792,-627.1250000,1.0000000
44,44,1.0000000,265.5422668,876.1324463,-610.5902100,1.0000000
45,45,1.0000000,272.0063477,876.1922607,-604.1858521,1.0000000
46,46,1.0000000,268.9496765,889.2906494,-620.3410034,1.0000000
47,47,1.0000000,297.1731262,892.3695679,-595.1964111,1.0000000
48,48,1.0000000,325.4497375,868.3666992,-542.9169922,1.0000000
49,49,1.0000000,344.1320190,840.8002319,-496.6681824,1.0000000
50,50,1.0000000,344.7655640,827.9103394,-483.1447449,1.0000000
51,51,1.0000000,340.9985962,811.8109741,-470.8123474,1.0000000
52,52,1.0000000,328.6599731,804.8228149,-476.1628723,1.0000000
53,53,1.0000000,312.0949097,805.5104980,-493.4155884,1.0000000
54,54,1.0000000,294.3374023,806.5294800,-512.1920776,1.0000000
55,55,1.0000000,277.8315430,802.3385010,-524.5069580,1.0000000
56,56,1.0000000,259.0444336,804.4866333,-545.4421997,1.0000000
57,57,1.0000000,238.7351227,829.3629761,-590.6278687,1.0000000
